Job ID,Predicted Time,Actual Time,Time Difference
3543217,2018-07-11 20:00:00,None,None,
3543214,2018-07-11 20:00:00,None,None,
3494571,2018-07-11 20:00:00,None,None,
3539259,2018-07-11 20:00:00,None,None,
3548139,2018-07-10 15:57:04,None,None,
3547776_[1-20],2018-07-10 16:59:59,None,None,
3497454,2018-07-11 20:00:00,None,None,
3543923,2018-07-10 15:57:04,None,None,
3539260,2018-07-11 20:00:00,None,None,
3478039,2018-07-11 20:00:00,None,None,
3481475,2018-07-11 20:00:00,None,None,
3511354,2018-07-11 20:00:00,None,None,
3547954,2018-07-10 17:34:26,None,None,
3480746,2018-07-11 20:00:00,None,None,
3539995,2018-07-11 20:00:00,None,None,
3486756,2018-07-10 11:30:01,None,None,
3539239,2018-07-11 20:00:00,None,None,
3547768_[1-20],2018-07-10 14:31:02,None,None,
3543322,2018-07-11 20:00:00,None,None,
3543842,2018-07-10 15:57:04,None,None,
3543835,2018-07-10 15:57:04,None,None,
3497331,2018-07-11 20:00:00,None,None,
3486766,2018-07-10 11:30:01,None,None,
3478038,2018-07-11 20:00:00,None,None,
3548142,2018-07-10 10:30:48,2018-07-10 10:14:13,0:16:35,
3548060,2018-07-10 11:30:01,2018-07-10 10:24:35,1:05:26,
3546198,2018-07-10 11:30:01,2018-07-10 10:26:38,1:03:23,
3543508,2018-07-11 20:00:00,None,None,
3486859,2018-07-11 20:00:00,None,None,
3364610,2018-07-10 15:57:04,None,None,
3543536,2018-07-11 20:00:00,None,None,
3497329,2018-07-11 20:00:00,None,None,
3486863,2018-07-11 20:00:00,None,None,
3547773_[1-20],2018-07-10 16:32:54,None,None,
3486831,2018-07-11 20:00:00,None,None,
3543537,2018-07-11 20:00:00,None,None,
3546199,2018-07-10 11:30:01,2018-07-10 10:28:41,1:01:20,
3548042,2018-07-10 11:30:01,2018-07-10 10:18:24,1:11:37,
3478040,2018-07-11 20:00:00,None,None,
3543770,2018-07-11 01:10:09,None,None,
3434160,2018-07-11 20:00:00,None,None,
3539245,2018-07-11 20:00:00,None,None,
3543193,2018-07-11 20:00:00,None,None,
3539281,2018-07-11 20:00:00,None,None,
3497334,2018-07-11 20:00:00,None,None,
3364613,2018-07-10 15:57:04,None,None,
3548037,2018-07-10 11:30:01,2018-07-10 10:18:24,1:11:37,
3543769,2018-07-10 18:00:01,None,None,
3546202,2018-07-10 11:30:01,2018-07-10 10:28:41,1:01:20,
3486676,2018-07-10 11:30:01,None,None,
3542851,2018-07-11 20:00:00,None,None,
3535130,2018-07-11 09:25:02,None,None,
3546205,2018-07-10 11:30:01,2018-07-10 10:28:41,1:01:20,
3544076,2018-07-10 18:00:01,None,None,
3535137,2018-07-11 11:45:24,None,None,
3497336,2018-07-11 20:00:00,None,None,
3434551,2018-07-11 20:00:00,None,None,
3543535,2018-07-11 20:00:00,None,None,
3541997,2018-07-11 20:00:00,None,None,
3539272,2018-07-11 20:00:00,None,None,
3486854,2018-07-11 20:00:00,None,None,
3486825,2018-07-11 20:00:00,None,None,
3540441,2018-07-10 16:28:31,None,None,
3540428,2018-07-10 16:28:31,None,None,
3539279,2018-07-11 20:00:00,None,None,
3546211,2018-07-10 11:30:01,None,None,
3543988,2018-07-11 01:26:00,2018-07-10 10:16:19,15:09:41,
3546223,2018-07-10 11:30:01,None,None,
3548056,2018-07-10 11:30:01,2018-07-10 10:24:35,1:05:26,
3543160,2018-07-11 20:00:00,None,None,
3435190,2018-07-10 16:28:31,None,None,
3543509,2018-07-11 20:00:00,None,None,
3548023,2018-07-10 11:30:01,2018-07-10 10:14:13,1:15:48,
3548030,2018-07-10 11:30:01,2018-07-10 10:14:13,1:15:48,
3547777_[1-20],2018-07-10 17:32:57,None,None,
3434462,2018-07-11 20:00:00,None,None,
3539274,2018-07-11 20:00:00,None,None,
3539276,2018-07-11 20:00:00,None,None,
3548033,2018-07-10 11:30:01,2018-07-10 10:16:22,1:13:39,
3543175,2018-07-11 20:00:00,None,None,
3539242,2018-07-11 20:00:00,None,None,
3543928,2018-07-10 15:57:04,None,None,
3539240,2018-07-11 20:00:00,None,None,
3539249,2018-07-11 20:00:00,None,None,
3486771,2018-07-10 11:30:01,None,None,
3486832,2018-07-11 20:00:00,None,None,
3548029,2018-07-10 11:30:01,2018-07-10 10:14:13,1:15:48,
3548043,2018-07-10 11:30:01,2018-07-10 10:20:29,1:09:32,
3486834,2018-07-11 20:00:00,None,None,
3543989,2018-07-11 02:39:39,2018-07-10 10:36:44,16:02:55,
3486841,2018-07-11 20:00:00,None,None,
3548028,2018-07-10 11:30:01,2018-07-10 10:14:13,1:15:48,
3543841,2018-07-10 15:57:04,None,None,
3486828,2018-07-11 20:00:00,None,None,
3548040,2018-07-10 11:30:01,2018-07-10 10:18:24,1:11:37,
3539254,2018-07-11 20:00:00,None,None,
3497335,2018-07-11 20:00:00,None,None,
3477882,2018-07-11 20:00:00,None,None,
3543173,2018-07-11 20:00:00,None,None,
3543185,2018-07-11 20:00:00,None,None,
3539238,2018-07-11 20:00:00,None,None,
3546219,2018-07-10 11:30:01,None,None,
3511357,2018-07-11 20:00:00,None,None,
3548025,2018-07-10 11:30:01,2018-07-10 10:14:13,1:15:48,
3539235,2018-07-11 20:00:00,None,None,
3434463,2018-07-11 20:00:00,None,None,
3548038,2018-07-10 11:30:01,2018-07-10 10:18:24,1:11:37,
3486844,2018-07-11 20:00:00,None,None,
3474023,2018-07-11 20:00:00,None,None,
3547963,2018-07-10 14:31:02,None,None,
3486758,2018-07-10 11:30:01,None,None,
3543779,2018-07-11 01:10:09,None,None,
3535140,2018-07-10 15:57:04,None,None,
3435534,2018-07-11 20:00:00,None,None,
3543327,2018-07-11 20:00:00,None,None,
3544290_[18-20],2018-07-11 11:00:01,None,None,
3538706,2018-07-11 20:00:00,None,None,
3539252,2018-07-11 20:00:00,None,None,
3539246,2018-07-11 20:00:00,None,None,
3542786,2018-07-11 20:00:00,None,None,
3543190,2018-07-11 20:00:00,None,None,
3486770,2018-07-10 11:30:01,None,None,
3478037,2018-07-11 20:00:00,None,None,
3548045,2018-07-10 11:30:01,2018-07-10 10:20:29,1:09:32,
3547771_[1-20],2018-07-10 15:59:11,None,None,
3541999,2018-07-11 20:00:00,None,None,
3548049,2018-07-10 11:30:01,2018-07-10 10:22:32,1:07:29,
3539257,2018-07-11 20:00:00,None,None,
3542783,2018-07-11 20:00:00,None,None,
3543331,2018-07-11 20:00:00,None,None,
3543836,2018-07-10 15:57:04,None,None,
3480901,2018-07-11 20:00:00,None,None,
3548059,2018-07-10 11:30:01,2018-07-10 10:24:35,1:05:26,
3434161,2018-07-11 20:00:00,None,None,
3543924,2018-07-10 15:57:04,None,None,
3546225,2018-07-10 11:30:01,None,None,
3543330,2018-07-11 20:00:00,None,None,
3543927,2018-07-10 15:57:04,None,None,
